gt_id,gt_class,frames_matched,mae_x,mae_y,mae_z,mean_euclid
0,car,209,16.846129998633423,1.5500148727736909,21.467275303333118,27.33211897195654
1,car,209,13.935135135179074,1.4275093959377372,20.743682301660343,25.030635325713657
2,car,209,11.386556283753391,1.5056497957915986,21.215820058788612,24.125498078081208
3,car,209,1.3786443442105016,0.923825842692941,33.820799446902186,33.863036538980026
4,cyclist,12,2.306341161939303,1.1779227547678948,4.503126386868795,5.259335207572744
8,cyclist,63,2.2372118333845816,1.1525295079999578,9.387688803726437,9.953143099670525
9,cyclist,51,2.400693752195549,1.1096705542331116,11.094233004041412,11.633770598032555
10,cyclist,57,5.0602853459800325,1.0480409757574984,19.999238744685528,20.775766336328285
14,cyclist,9,4.625643231543435,1.192251521200922,5.391991800981311,7.467404450334446
5,pedestrian,48,3.5566393234751623,0.9648819912245473,4.511342096659025,5.959414165362577
6,pedestrian,46,3.9881067987228884,0.9378479540107768,5.088575404395725,6.618742676343123
7,pedestrian,73,2.635386320526018,0.995909375729757,5.349655939559728,6.408809873887749
11,pedestrian,10,9.12515597311325,0.9900956531309127,11.534197901403047,14.74651203438014
12,pedestrian,154,15.912073801663285,0.6133804668346566,24.153435083992747,29.038167027569536
13,pedestrian,89,9.363041671395933,0.7525847355327927,12.615128606363704,15.821990941601495
15,pedestrian,106,10.642326034659279,1.149059901406819,17.164316809669568,20.42340741433272
16,pedestrian,152,12.341914446270705,0.8175311002833718,18.831189759106433,22.701572101232056
17,pedestrian,4,7.045655797387123,1.375543847483635,6.31976951958847,9.639240386324914
18,pedestrian,21,7.8497626537700835,0.6355478640143076,36.861562602533255,37.6949257403301
19,pedestrian,163,3.3969692169238304,0.9907628481878064,7.2999325049153425,8.29544264515846
20,pedestrian,156,3.095217714789079,0.9386586155724067,7.724841950513596,8.521588084333306
21,pedestrian,161,2.966627059283316,0.9397039884251809,7.004047914512967,7.869029261863146
22,pedestrian,132,2.946893438486713,0.9908085258363846,6.481980578000098,7.526531423975383
23,pedestrian,133,2.861211898756565,0.921512807905717,6.892941314433737,8.001314413785812
24,pedestrian,146,4.043328826047218,0.9529642882126586,6.390612920644159,7.946902556900562
25,pedestrian,141,3.7810243919828697,0.9149256095074053,6.84704606741701,8.204771979253856
26,pedestrian,141,3.5925836253905876,0.8721496285713141,7.223785081059016,8.486320619853606
27,pedestrian,151,3.2241200374649313,0.950466912277648,6.138886646131806,7.247147623170248
